EC_Number	BiGG_Reaction
1.2.1.22	LCADm
1.2.1.26	NOT_IN_BIGG_DATABASE
1.2.1.27	MMSAD1
1.2.1.27	MMSAD1m
1.2.1.27	MMSAD3
1.2.1.27	MMSAD3m
1.2.1.27	MMSDH
1.2.1.27	MMTSAO
1.2.1.3	34DHALDD
1.2.1.3	3MBZDH
1.2.1.3	4ABUTD
1.2.1.3	4MBZDH
1.2.1.3	5HOXINDACTOX
1.2.1.3	5HOXINDACTOXm
1.2.1.3	ABOR
1.2.1.3	ABUTD
1.2.1.3	ABUTDm
1.2.1.3	ALDD16
1.2.1.3	ALDD20x
1.2.1.3	ALDD20x_1
1.2.1.3	ALDD20xm
1.2.1.3	ALDD22x
1.2.1.3	ALDD2x
1.2.1.3	ALDD2xm
1.2.1.3	ALDD32
1.2.1.3	ALDD5
1.2.1.3	ALDD6
1.2.1.3	ALDD8
1.2.1.3	ALDH
1.2.1.3	GLACO
1.2.1.3	GLACOm
1.2.1.3	GLYALDDr
1.2.1.3	IMACTD
1.2.1.3	IMACTD_m
1.2.1.3	LCADi_D
1.2.1.3	LCADi_Dm
1.2.1.3	NABTNO
1.2.1.3	NABTNOm
1.2.1.3	PYLALDOX
1.2.1.3	PYLALDOXm
1.2.1.3	r0393
1.2.1.3	r0642
1.2.1.3	r0643
1.2.1.38	AGPR
1.2.1.38	AGPRim
1.2.1.39	ALDD19xr
1.2.1.39	r0546
1.2.1.41	G5DHx
1.2.1.41	G5SD
1.2.1.41	G5SD2
1.2.1.41	G5SDym
1.2.1.5	34DHALDD
1.2.1.5	34DHPLACOX_NADP
1.2.1.5	34DHXMANDACOX
1.2.1.5	34DHXMANDACOX_NADP
1.2.1.5	3M4HDXPAC
1.2.1.5	3MOX4HOXPGALDOX
1.2.1.5	3MOX4HOXPGALDOX_NADP
1.2.1.5	4HOXPACDOX_NADP
1.2.1.5	ALDD16
1.2.1.5	ALDD19x_P
1.2.1.5	ALDD19xr
1.2.1.5	ALDD20y
1.2.1.5	ALDD20ym
1.2.1.5	ALDD22x
1.2.1.5	ALDD2x
1.2.1.5	ALDD2xm
1.2.1.5	ALDD2y
1.2.1.5	ALDD2ym
1.2.1.5	ALDD6
1.2.1.5	r0546
1.2.1.5	r0548
1.2.1.5	r0752
1.2.1.5	r0753
1.2.1.5	r0754
1.2.1.5	r0756
1.2.1.5	r0757
1.2.1.59	GAPD
1.2.1.59	GAPDH_nadp_hi
1.2.1.59	GAPDHf
1.2.1.59	GAPDHh
1.2.1.59	GAPDHm
1.2.1.59	GAPDi_nadp
1.2.1.63	NOT_IN_BIGG_DATABASE
1.2.1.70	GLUTRR
1.2.1.70	GLUTRR_1
1.2.1.71	SGSAD
1.2.1.72	E4PD
1.2.1.73	NOT_IN_BIGG_DATABASE
1.2.1.79	SSALy
1.2.1.79	r0179
1.2.1.8	BETALDHx
1.2.1.8	BETALDHxm
1.2.1.8	BETALDHy
1.2.1.88	4HGLSD
1.2.1.88	4HGLSDm
1.2.1.88	P5CD
1.2.1.88	P5CDm
1.2.1.88	PHCD
1.2.1.88	PHCDm
1.2.1.88	PUTA3
1.2.1.88	r0074
1.2.1.88	r0686
1.2.1.9	NOT_IN_BIGG_DATABASE
1.2.4.1	PDH
1.2.4.1	PDHa
1.2.4.1	PDHam1hi
1.2.4.1	PDHam1mi
1.2.4.1	PDHam2hi
1.2.4.1	PDHam2mi
1.2.4.1	PDHm
1.2.4.1	r0383
1.2.4.2	2OXOADOXm
1.2.4.2	AKGDH
1.2.4.2	AKGDa
1.2.4.2	AKGDam
1.2.4.2	AKGDm
1.2.4.2	OXOADLR
1.2.4.2	r0163
1.2.4.2	r0384
1.2.4.2	r0451
1.2.4.2	r0620
1.2.4.4	3M2OBLOXRD
1.2.4.4	3M2OPLOXRD
1.2.4.4	4M2OPLOXRD
1.2.4.4	MOD
1.2.4.4	MOD_3mhtpp
1.2.4.4	MOD_3mop
1.2.4.4	MOD_4mop
1.2.4.4	r0385
1.2.4.4	r0386
1.2.4.4	r0670
1.2.5.1	NOT_IN_BIGG_DATABASE
1.2.5.3	NOT_IN_BIGG_DATABASE
1.2.7.-	PFOR
1.2.7.12	NOT_IN_BIGG_DATABASE
1.2.7.3	OOR3r
1.2.99.6	NOT_IN_BIGG_DATABASE
1.20.4.1	ASR
1.20.4.1	ASR2
1.20.4.4	ASR2
1.21.98.-	NOT_IN_BIGG_DATABASE
1.21.98.1	NOT_IN_BIGG_DATABASE
1.21.98.4	NOT_IN_BIGG_DATABASE
1.3.1.-	DH3MCHCDH
1.3.1.-	PCNO
1.3.1.-	PCNOn
1.3.1.1	DURADx
1.3.1.1	r0330
1.3.1.1	r0331
1.3.1.10	EAR121y
1.3.1.10	EAR141y
1.3.1.10	EAR160y
1.3.1.10	EAR160y_1
1.3.1.10	EAR161y
1.3.1.10	EAR180y
1.3.1.10	EAR181y
1.3.1.10	EAR181y_1
1.3.1.10	EGMEACPR
1.3.1.10	EPMEACPR
1.3.1.106	NOT_IN_BIGG_DATABASE
1.3.1.108	NOT_IN_BIGG_DATABASE
1.3.1.111	NOT_IN_BIGG_DATABASE
1.3.1.114	NOT_IN_BIGG_DATABASE
1.3.1.115	NOT_IN_BIGG_DATABASE
1.3.1.12	PPND
1.3.1.12	PPOR_1
1.3.1.14	DHORD_NAD
1.3.1.28	DHBD
1.3.1.3	SR5ARr
1.3.1.34	NOT_IN_BIGG_DATABASE
1.3.1.43	NOT_IN_BIGG_DATABASE
1.3.1.54	CPC6R
1.3.1.54	PC6AR
1.3.1.76	SHCHD2
1.3.1.76	SHCHD2_1
1.3.1.83	GGCHLDAR
1.3.1.83	GGDPR
1.3.1.83	GGDR
1.3.1.84	PCNO
1.3.1.84	PCNOn
1.3.1.85	NOT_IN_BIGG_DATABASE
1.3.1.86	NOT_IN_BIGG_DATABASE
1.3.1.9	ACOAD1
1.3.1.9	EAR121x
1.3.1.9	EAR141x
1.3.1.9	EAR160x
1.3.1.9	EAR160x_1
1.3.1.9	EAR161x
1.3.1.9	EAR180x
1.3.1.9	EAR180x_1
1.3.1.9	EAR181x
1.3.1.9	EAR181x_1
1.3.1.98	UAPGR
1.3.3.11	NOT_IN_BIGG_DATABASE
1.3.3.3	CPPPGO
1.3.3.3	CPPPGO_1
1.3.3.4	PPPGO
1.3.3.4	PPPGO3
1.3.3.4	PPPGO_1
1.3.3.4	PPPGOm
1.3.5.1	FRD
1.3.5.1	FRDcm
1.3.5.1	FRDm
1.3.5.1	SUCD1
1.3.5.1	SUCD1m
1.3.5.1	SUCD2_u6m
1.3.5.1	SUCD3_u6m
1.3.5.1	SUCDHh
1.3.5.2	NOT_IN_BIGG_DATABASE
1.3.5.3	NOT_IN_BIGG_DATABASE
1.3.5.4	NOT_IN_BIGG_DATABASE
1.3.5.5	NOT_IN_BIGG_DATABASE
1.3.7.14	NOT_IN_BIGG_DATABASE
1.3.7.15	NOT_IN_BIGG_DATABASE
1.3.7.7	NOT_IN_BIGG_DATABASE
1.3.8.-	NOT_IN_BIGG_DATABASE
1.3.8.1	ACOA40OR
1.3.8.1	ACOAD1f
1.3.8.1	ACOAD1fm
1.3.8.12	NOT_IN_BIGG_DATABASE
1.3.8.14	NOT_IN_BIGG_DATABASE
1.3.8.6	GLUTCOADHc
1.3.8.6	GLUTCOADHm
1.3.8.7	ACOA120OR
1.3.8.7	ACOA140OR
1.3.8.7	ACOA160OR
1.3.8.7	ACOA40OR
1.3.8.7	ACOA80OR
1.3.8.7	ACOAD1f
1.3.8.7	ACOAD1fm
1.3.8.7	ACOAD3f
1.3.8.7	ACOAD5f
1.3.8.7	ACOAD6f
1.3.8.7	ACOAD7f
1.3.8.7	ACOAD8m
1.3.8.7	MBCOAi
1.3.8.7	PPCOAOm
1.3.98.1	DHORDfum
1.3.98.3	CPPPGO2
1.3.99.-	ACOA120OR
1.3.99.-	ACOA140OR
1.3.99.-	ACOA160OR
1.3.99.-	ACOA40OR
1.3.99.-	ACOA80OR
1.3.99.-	ACOAD1f
1.3.99.-	ACOAD1fm
1.3.99.-	ACOAD3f
1.3.99.-	ACOAD5f
1.3.99.-	ACOAD6f
1.3.99.-	ACOAD7f
1.3.99.-	SGOR
1.3.99.16	NOT_IN_BIGG_DATABASE
1.3.99.26	NOT_IN_BIGG_DATABASE
1.3.99.27	NOT_IN_BIGG_DATABASE
1.3.99.28	NOT_IN_BIGG_DATABASE
1.3.99.29	NOT_IN_BIGG_DATABASE
1.3.99.31	NOT_IN_BIGG_DATABASE
1.3.99.38	NOT_IN_BIGG_DATABASE
1.3.99.4	NOT_IN_BIGG_DATABASE
1.3.99.41	NOT_IN_BIGG_DATABASE
